Goal;Target;Indicator;SeriesCode;SeriesDescription;GeoAreaCode;GeoAreaName;Nature;Reporting Type;Units;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);496;Mongolia;NA;G;NUMBER;5522;5769;7009;9971;6368;9085;6926;8871;9523;8447;66208.4;97186;45614.3;11562;9092;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);499;Montenegro;NA;G;NUMBER;2096.18239;330.75631;95.57063;2166.26751;541.82413;3595.33158;245.92656;11251.84831;1002.63469;375.91113;767.75069;133.4275;2197.19595;7541;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);504;Morocco;NA;G;NUMBER;3625.36166;232;288.55732;7342.53165;105686.89721;57328.79458;1;;61.65316;116.19566;111.72333;1319.51393;26;396;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);508;Mozambique;NA;G;NUMBER;89044.26695;90274.63944;454117.16704;695979.69428;38451.49635;3475.15875;17689.64318;34881.51006;;;408024;1602737;646147.3;64618;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);104;Myanmar;NA;G;NUMBER;90925;89330;44975;1169776;85423;272578;449542.914;423334.842;299306.832;236174.626;566307;1063882;1023153;224398.0599;212676.73027;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);516;Namibia;NA;G;NUMBER;;;;215257;677542;;141130;;7;;556447;593196;1841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);524;Nepal;NA;G;NUMBER;8170.754;310052.76347;83818.11452;410644.96231;203757.86395;220624.86523;13992;39128;27196;364259;10230262;84580;1111595;64255;183401;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);554;New Zealand;NA;G;NUMBER;;;;;;;;;;;7906.65724;90350;27018;546;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);558;Nicaragua;NA;G;NUMBER;9083.79076;198.34789;74066.51344;26541.29493;13111.41404;9250.48536;5913.2127;7075.75931;18046.0339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1.5;1.5.1;VC_DSR_AFFCT;Number of people affected by disaster (number);562;Niger;NA;G;NUMBER;1072559.81043;396349;720898;283802;1141475;1339591;2632117;677057;1505041.00874;183265;4120337;5922604;5491977;4246069;9985;;;;;;;;;;;;;;;;;;;;;;;;;;;
