Date;Open;High;Low;Close*;Adj Close**;Volume
Aug 19, 2008;11,478.09;11,632.13;11,290.58;11,386.25;11,386.25;7,338,800
Aug 12, 2008;11,781.70;11,782.35;11,434.12;11,479.39;11,479.39;8,872,600
Aug 05, 2008;11,286.02;11,867.11;11,286.02;11,782.35;11,782.35;10,406,800
Jul 29, 2008;11,133.44;11,586.62;11,128.06;11,284.15;11,284.15;9,956,000
Jul 22, 2008;11,457.90;11,698.17;11,125.13;11,131.08;11,131.08;11,678,200
Jul 15, 2008;11,050.80;11,559.67;10,827.71;11,467.34;11,467.34;15,657,000
Jul 08, 2008;11,225.03;11,418.24;10,977.68;11,055.19;11,055.19;12,269,800
Jul 01, 2008;11,344.64;11,434.12;11,120.74;11,231.96;11,231.96;9,554,300
Jun 24, 2008;11,842.36;11,924.19;11,287.56;11,350.01;11,350.01;13,844,400
Jun 17, 2008;12,269.65;12,322.82;11,731.06;11,842.36;11,842.36;12,310,800
Jun 10, 2008;12,277.71;12,369.23;12,076.93;12,269.08;12,269.08;12,189,600
Jun 03, 2008;12,503.20;12,610.96;12,192.06;12,280.32;12,280.32;12,763,800
May 27, 2008;12,479.63;12,726.66;12,427.77;12,503.82;12,503.82;10,309,500
May 20, 2008;13,026.04;13,026.04;12,460.09;12,479.63;12,479.63;9,376,000
May 13, 2008;12,872.08;13,136.69;12,780.97;13,028.16;13,028.16;11,043,400
May 06, 2008;12,968.89;13,046.15;12,715.02;12,876.31;12,876.31;10,082,900
Apr 29, 2008;12,870.37;13,132.46;12,793.10;12,969.54;12,969.54;11,217,900
Apr 22, 2008;12,825.02;12,942.26;12,656.56;12,871.75;12,871.75;11,720,500
Apr 15, 2008;12,302.06;12,893.98;12,269.81;12,825.02;12,825.02;11,918,700
Apr 08, 2008;12,602.66;12,649.31;12,280.40;12,302.06;12,302.06;11,223,400
Apr 01, 2008;12,266.64;12,733.66;12,266.47;12,612.43;12,612.43;10,914,900
Mar 25, 2008;12,547.34;12,571.84;12,176.11;12,262.89;12,262.89;11,906,700
Mar 18, 2008;11,975.92;12,622.07;11,975.84;12,548.64;12,548.64;14,632,100
Mar 11, 2008;11,741.33;12,303.35;11,741.01;11,972.25;11,972.25;17,604,200
Mar 04, 2008;12,259.14;12,349.67;11,731.60;11,740.15;11,740.15;15,549,900
Feb 26, 2008;12,569.48;12,756.56;12,161.05;12,258.90;12,258.90;14,143,500
